# P_bar,T_K,rho_kgm3,alpha_1_K,Cp_J_K_mol
9.000000000000001164e+05,3.040000000000000000e+03,1.006096395122121976e+04,-4.660568084902579677e+00,6.400148759760977555e+02
9.000000000000001164e+05,3.080000000000000000e+03,1.005213093897802537e+04,-4.656241810933384073e+00,6.444307579319063279e+02
9.000000000000001164e+05,3.120000000000000000e+03,1.004321774774218466e+04,-4.651952441058192278e+00,6.488522135903559729e+02
9.000000000000001164e+05,3.160000000000000000e+03,1.003422448753521530e+04,-4.647699416308832099e+00,6.532789246322769259e+02
9.000000000000001164e+05,3.200000000000000000e+03,1.002515127196032518e+04,-4.643482202957788019e+00,6.577106067271307666e+02
9.000000000000001164e+05,3.240000000000000000e+03,1.001599821782254730e+04,-4.639300116608165325e+00,6.621470473883980503e+02
9.000000000000001164e+05,3.280000000000000000e+03,1.000676544492590074e+04,-4.635152597106844574e+00,6.665880519097219121e+02
9.000000000000001164e+05,3.320000000000000000e+03,9.997453075515524688e+03,-4.631038984361391719e+00,6.710334862859604073e+02
9.000000000000001164e+05,3.360000000000000000e+03,9.988061234185815920e+03,-4.626958792633114825e+00,6.754832167704852282e+02
9.000000000000001164e+05,3.400000000000000000e+03,9.978590047445519303e+03,-4.622911348864680470e+00,6.799371821266752249e+02
9.000000000000001164e+05,3.440000000000000000e+03,9.969039643532836635e+03,-4.618896131312197895e+00,6.843953240574019219e+02
9.000000000000001164e+05,3.480000000000000000e+03,9.959410152131240466e+03,-4.614912421847656709e+00,6.888576633826377247e+02
9.000000000000001164e+05,3.520000000000000000e+03,9.949701704186878487e+03,-4.610959786059738441e+00,6.933241869423449089e+02
9.000000000000001164e+05,3.560000000000000000e+03,9.939914431631652405e+03,-4.607037569986377257e+00,6.977949603769845908e+02
9.500000000000001164e+05,1.600000000000000000e+03,1.043095787497534911e+04,-4.863398387795214717e+00,4.886001958178441669e+02
9.500000000000001164e+05,1.640000000000000000e+03,1.042520637829246334e+04,-4.857582490896199978e+00,4.919433349331935688e+02
9.500000000000001164e+05,1.680000000000000000e+03,1.041938087099788390e+04,-4.851810255774110736e+00,4.953479429776474490e+02
9.500000000000001164e+05,1.720000000000000000e+03,1.041348103803858976e+04,-4.846081735340098007e+00,4.988110821787162195e+02
9.500000000000001164e+05,1.760000000000000000e+03,1.040750657847981165e+04,-4.840397159112995062e+00,5.023298812827171673e+02
9.500000000000001164e+05,1.800000000000000000e+03,1.040145720635507678e+04,-4.834756570534758602e+00,5.059015532432520104e+02
9.500000000000001164e+05,1.840000000000000000e+03,1.039533265138778916e+04,-4.829160308020863823e+00,5.095233779880024372e+02
9.500000000000001164e+05,1.880000000000000000e+03,1.038913265946061438e+04,-4.823608502105702911e+00,5.131927211521480103e+02
9.500000000000001164e+05,1.920000000000000000e+03,1.038285699297144129e+04,-4.818101242832172559e+00,5.169070333312238290e+02
9.500000000000001164e+05,1.960000000000000000e+03,1.037650543111514708e+04,-4.812638879401641034e+00,5.206638334517774638e+02
